"V1","V2","V3"
22985194,-0.534966935659777,6.7761713032316e-75
16294100,-0.534947680758259,6.874411200915e-75
15287392,-0.534661325268159,8.51439039868988e-75
11327538,-0.534654544481882,8.55761493846464e-75
28924271,-0.534611986953829,8.83393273027572e-75
24883014,-0.534571018190106,9.10832124232268e-75
32367065,-0.534460917705388,9.88848424921832e-75
11328841,-0.534407688142817,1.02891732845129e-74
13049786,-0.534298208957223,1.11648028686368e-74
32347268,-0.534268568305741,1.14143768378217e-74
4150473,-0.534147174731582,1.24957934669156e-74
16295093,-0.534001428859032,1.39296590731524e-74
16301962,-0.533832786024362,1.579428280539e-74
11327155,-0.533727405627462,1.70835047645519e-74
22974860,-0.53367707278084,1.77357253346316e-74
30403756,-0.533646477983859,1.81442294219835e-74
17096938,-0.533566387286916,1.92585034212237e-74
18565030,-0.53355370350149,1.94411114529006e-74
20354019,-0.533498974439881,2.02490139835956e-74
13055865,-0.533494377133839,2.03183813824847e-74
7295170,-0.53345638873328,2.09007054869147e-74
28919629,-0.533374728556241,2.22093218563431e-74
9322129,-0.533332040845664,2.29255397559631e-74
13915639,-0.533064774114648,2.79626120360032e-74
33959825,-0.533017553725369,2.89607431968832e-74
7298808,-0.532963710003835,3.01422193840397e-74
18552687,-0.532948886118868,3.04758363915456e-74
37418734,-0.532863919183315,3.24602000319575e-74
32373050,-0.532863232680877,3.24767458209769e-74
20121757,-0.53260862896997,3.92298366644182e-74
17096101,-0.532601888246834,3.94264516298429e-74
9320659,-0.532497446061677,4.26012497843407e-74
14561839,-0.532479261466428,4.31794711520024e-74
33959820,-0.53233362255731,4.81012637946182e-74
15212336,-0.532317623090543,4.86749037413549e-74
32711091,-0.532191215391635,5.3453147527415e-74
3296996,-0.532112844538699,5.66471792356562e-74
18082167,-0.532060833940451,5.88710615840851e-74
11327368,-0.532025968000965,6.0410313643423e-74
9318307,-0.531961589997045,6.33584949918189e-74
17109209,-0.53196033648712,6.34172985990386e-74
25353253,-0.531929005858554,6.49048343120431e-74
14569956,-0.531896434704909,6.64881000692796e-74
22983477,-0.531749563542961,7.41186335934469e-74
2170873,-0.531680739649044,7.7988329508802e-74
